participant,session,block_number,trial_number,trial_in_block_num,trial_type,triplet_type,sequence_used,stimulus_position_num,rt_non_cumulative_s,rt_cumulative_s,correct_key_pressed,response_key_pressed,correct_response,is_nogo,is_practice,epoch,is_first_response,mind_wandering_rating_1,mind_wandering_rating_2,mind_wandering_rating_3,mind_wandering_rating_4
0001,1,1,1,1,R,X,"1,2,3,4",3,1.0744178000004467,1.0744178000004467,j,j,True,False,False,1,1,2,2,1,3
0001,1,1,2,2,P,X,"1,2,3,4",1,0.42029120000006515,0.42029120000006515,s,s,True,False,False,1,1,2,2,1,3
0001,1,1,3,3,R,L,"1,2,3,4",1,0.31067389999952866,0.31067389999952866,s,s,True,False,False,1,1,2,2,1,3
0001,1,1,4,4,P,H,"1,2,3,4",2,0.4155201000012312,0.4155201000012312,f,f,True,False,False,1,1,2,2,1,3
0001,1,1,5,5,R,L,"1,2,3,4",4,0.3681558000007499,0.3681558000007499,l,l,True,False,False,1,1,2,2,1,3
0001,1,1,6,6,P,H,"1,2,3,4",3,0.4348688999998558,0.4348688999998558,j,j,True,False,False,1,1,2,2,1,3
0001,1,1,7,7,R,H,"1,2,3,4",1,0.3803243000002112,0.3803243000002112,s,s,True,False,False,1,1,2,2,1,3
0001,1,1,8,8,P,H,"1,2,3,4",4,0.3868619000004401,0.3868619000004401,l,l,True,False,False,1,1,2,2,1,3
0001,1,1,9,9,R,L,"1,2,3,4",4,0.29854209999939485,0.29854209999939485,l,l,True,False,False,1,1,2,2,1,3
0001,1,1,10,10,P,H,"1,2,3,4",1,0.4130633000004309,0.4130633000004309,s,s,True,False,False,1,1,2,2,1,3
0001,1,1,11,11,R,L,"1,2,3,4",3,0.5704884000006132,0.5704884000006132,j,j,True,False,False,1,1,2,2,1,3
0001,1,1,12,12,P,H,"1,2,3,4",2,0.42958290000024135,0.42958290000024135,f,f,True,False,False,1,1,2,2,1,3
0001,1,1,13,13,R,L,"1,2,3,4",2,0.3286286000002292,0.3286286000002292,f,f,True,False,False,1,1,2,2,1,3
0001,1,1,14,14,P,H,"1,2,3,4",3,0.44463100000029954,0.44463100000029954,j,j,True,False,False,1,1,2,2,1,3
0001,1,1,15,15,R,H,"1,2,3,4",3,0.3094093999989127,0.3094093999989127,j,j,True,False,False,1,1,2,2,1,3
0001,1,1,16,16,P,H,"1,2,3,4",4,0.3367380999989109,0.3367380999989109,l,l,True,False,False,1,1,2,2,1,3
0001,1,1,17,17,R,H,"1,2,3,4",4,0.3313542999985657,0.3313542999985657,l,l,True,False,False,1,1,2,2,1,3
0001,1,1,18,18,P,H,"1,2,3,4",1,0.3806480000002921,0.3806480000002921,s,s,True,False,False,1,1,2,2,1,3
0001,1,1,19,19,R,L,"1,2,3,4",2,0.4231120999993436,0.4231120999993436,f,j,False,False,False,1,1,2,2,1,3
0001,1,1,19,19,R,L,"1,2,3,4",2,0.30674920000092243,0.7298613000002661,f,f,True,False,False,1,0,2,2,1,3
0001,1,1,20,20,P,H,"1,2,3,4",2,0.3575992000005499,0.3575992000005499,f,f,True,False,False,1,1,2,2,1,3
0001,1,1,21,21,R,H,"1,2,3,4",3,0.5131607999992411,0.5131607999992411,j,j,True,False,False,1,1,2,2,1,3
0001,1,1,22,22,P,H,"1,2,3,4",3,0.3459442000003037,0.3459442000003037,j,j,True,False,False,1,1,2,2,1,3
0001,1,1,23,23,R,L,"1,2,3,4",2,0.46248129999912635,0.46248129999912635,f,f,True,False,False,1,1,2,2,1,3
0001,1,1,24,24,P,H,"1,2,3,4",4,0.3325679999998101,0.3325679999998101,l,l,True,False,False,1,1,2,2,1,3
0001,1,1,25,25,R,T,"1,2,3,4",2,0.6604815999999119,0.6604815999999119,f,f,True,False,False,1,1,2,2,1,3
0001,1,1,26,26,P,H,"1,2,3,4",1,0.30414770000061253,0.30414770000061253,s,s,True,False,False,1,1,2,2,1,3
0001,1,1,27,27,R,L,"1,2,3,4",1,0.2916138000000501,0.2916138000000501,s,s,True,False,False,1,1,2,2,1,3
0001,1,1,28,28,P,H,"1,2,3,4",2,0.4202963000007003,0.4202963000007003,f,f,True,False,False,1,1,2,2,1,3
0001,1,1,29,29,R,H,"1,2,3,4",2,0.30183430000033695,0.30183430000033695,f,f,True,False,False,1,1,2,2,1,3
0001,1,1,30,30,P,H,"1,2,3,4",3,0.3988489999992453,0.3988489999992453,j,j,True,False,False,1,1,2,2,1,3
0001,1,1,31,31,R,L,"1,2,3,4",4,0.4057093999999779,0.4057093999999779,l,l,True,False,False,1,1,2,2,1,3
0001,1,1,32,32,P,H,"1,2,3,4",4,0.276695300000938,0.276695300000938,l,l,True,False,False,1,1,2,2,1,3
0001,1,1,33,33,R,L,"1,2,3,4",3,0.46253819999947154,0.46253819999947154,j,j,True,False,False,1,1,2,2,1,3
0001,1,1,34,34,P,H,"1,2,3,4",1,0.5476326000007248,0.5476326000007248,s,s,True,False,False,1,1,2,2,1,3
0001,1,1,35,35,R,H,"1,2,3,4",4,0.4558128000007855,0.4558128000007855,l,l,True,False,False,1,1,2,2,1,3
0001,1,1,36,36,P,H,"1,2,3,4",2,0.6176295000004757,0.6176295000004757,f,f,True,False,False,1,1,2,2,1,3
0001,1,1,37,37,R,L,"1,2,3,4",2,0.4200725999999122,0.4200725999999122,f,f,True,False,False,1,1,2,2,1,3
0001,1,1,38,38,P,H,"1,2,3,4",3,0.34795410000151605,0.34795410000151605,j,j,True,False,False,1,1,2,2,1,3
0001,1,1,39,39,R,L,"1,2,3,4",1,0.3552145000012388,0.3552145000012388,s,s,True,False,False,1,1,2,2,1,3
0001,1,1,40,40,P,H,"1,2,3,4",4,0.3557061000010435,0.3557061000010435,l,l,True,False,False,1,1,2,2,1,3
0001,1,1,41,41,R,L,"1,2,3,4",4,0.29474239999944984,0.29474239999944984,l,l,True,False,False,1,1,2,2,1,3
0001,1,1,42,42,P,H,"1,2,3,4",1,0.3488758000003145,0.3488758000003145,s,s,True,False,False,1,1,2,2,1,3
0001,1,1,43,43,R,L,"1,2,3,4",3,0.43106280000029074,0.43106280000029074,j,j,True,False,False,1,1,2,2,1,3
0001,1,1,44,44,P,H,"1,2,3,4",2,0.28548899999987043,0.28548899999987043,f,f,True,False,False,1,1,2,2,1,3
0001,1,1,45,45,R,L,"1,2,3,4",1,0.3759093999997276,0.3759093999997276,s,s,True,False,False,1,1,2,2,1,3
0001,1,1,46,46,P,H,"1,2,3,4",3,0.3486984000010125,0.3486984000010125,j,j,True,False,False,1,1,2,2,1,3
0001,1,1,47,47,R,L,"1,2,3,4",4,0.31046799999967334,0.31046799999967334,l,l,True,False,False,1,1,2,2,1,3
0001,1,1,48,48,P,H,"1,2,3,4",4,0.25468590000127733,0.25468590000127733,l,l,True,False,False,1,1,2,2,1,3
0001,1,1,49,49,R,H,"1,2,3,4",1,0.5380148000003828,0.5380148000003828,s,s,True,False,False,1,1,2,2,1,3
0001,1,1,50,50,P,H,"1,2,3,4",1,0.19577229999958945,0.19577229999958945,s,s,True,False,False,1,1,2,2,1,3
0001,1,1,51,51,R,L,"1,2,3,4",3,0.48815429999922344,0.48815429999922344,j,j,True,False,False,1,1,2,2,1,3
0001,1,1,52,52,P,H,"1,2,3,4",2,0.28180430000065826,0.28180430000065826,f,f,True,False,False,1,1,2,2,1,3
0001,1,1,53,53,R,T,"1,2,3,4",3,0.3285190999995393,0.3285190999995393,j,j,True,False,False,1,1,2,2,1,3
0001,1,1,54,54,P,H,"1,2,3,4",3,0.30317749999994703,0.30317749999994703,j,j,True,False,False,1,1,2,2,1,3
0001,1,1,55,55,R,L,"1,2,3,4",2,0.3338233999984368,0.3338233999984368,f,s,False,False,False,1,1,2,2,1,3
0001,1,1,55,55,R,L,"1,2,3,4",2,0.3846209000003,0.7184442999987368,f,f,True,False,False,1,0,2,2,1,3
0001,1,1,56,56,P,H,"1,2,3,4",4,0.3542010000001028,0.3542010000001028,l,l,True,False,False,1,1,2,2,1,3
0001,1,1,57,57,R,T,"1,2,3,4",2,0.4711555000012595,0.4711555000012595,f,f,True,False,False,1,1,2,2,1,3
0001,1,1,58,58,P,H,"1,2,3,4",1,0.42222729999957664,0.42222729999957664,s,s,True,False,False,1,1,2,2,1,3
0001,1,1,59,59,R,L,"1,2,3,4",4,0.35586439999860886,0.35586439999860886,l,j,False,False,False,1,1,2,2,1,3
0001,1,1,59,59,R,L,"1,2,3,4",4,0.2728322000002663,0.6286965999988752,l,l,True,False,False,1,0,2,2,1,3
0001,1,1,60,60,P,H,"1,2,3,4",2,0.5120248999992327,0.5120248999992327,f,f,True,False,False,1,1,2,2,1,3
0001,1,1,61,61,R,L,"1,2,3,4",2,0.32362859999921056,0.32362859999921056,f,f,True,False,False,1,1,2,2,1,3
0001,1,1,62,62,P,H,"1,2,3,4",3,0.4448303000008309,0.4448303000008309,j,j,True,False,False,1,1,2,2,1,3
0001,1,1,63,63,R,L,"1,2,3,4",1,0.4125636000007944,0.4125636000007944,s,s,True,False,False,1,1,2,2,1,3
0001,1,1,64,64,P,H,"1,2,3,4",4,0.4266511999994691,0.4266511999994691,l,l,True,False,False,1,1,2,2,1,3
