participant,session,block_number,trial_number,trial_in_block_num,trial_type,triplet_type,sequence_used,stimulus_position_num,rt_non_cumulative_s,rt_cumulative_s,correct_key_pressed,response_key_pressed,correct_response,is_nogo,is_practice,epoch,is_first_response,mind_wandering_rating_1,mind_wandering_rating_2,mind_wandering_rating_3,mind_wandering_rating_4
1333,1,1,1,1,R,X,"1,2,3,4",1,0.1985361999977613,0.1985361999977613,s,s,True,False,False,1,,NA,NA,NA,NA
1333,1,1,2,2,P,X,"1,2,3,4",1,0.28667720000157715,0.28667720000157715,s,s,True,False,False,1,,NA,NA,NA,NA
1333,1,1,3,3,R,R,"1,2,3,4",1,0.2904777000003378,0.2904777000003378,s,s,True,False,False,1,,NA,NA,NA,NA
1333,1,1,4,4,P,H,"1,2,3,4",2,0.3030118999995466,0.3030118999995466,f,f,True,False,False,1,,NA,NA,NA,NA
1333,1,1,5,5,R,L,"1,2,3,4",4,0.32325289999789675,0.32325289999789675,l,l,True,False,False,1,,NA,NA,NA,NA
1333,1,1,6,6,P,H,"1,2,3,4",3,0.26215139999840176,0.26215139999840176,j,j,True,False,False,1,,NA,NA,NA,NA
1333,1,1,7,7,R,L,"1,2,3,4",2,0.291119699999399,0.291119699999399,f,f,True,False,False,1,,NA,NA,NA,NA
1333,1,1,8,8,P,H,"1,2,3,4",4,0.2552398000007088,0.2552398000007088,l,l,True,False,False,1,,NA,NA,NA,NA
1333,1,1,9,9,R,H,"1,2,3,4",3,0.34992679999777465,0.34992679999777465,j,j,True,False,False,1,,NA,NA,NA,NA
1333,1,1,10,10,P,H,"1,2,3,4",1,0.2880215999975917,0.2880215999975917,s,s,True,False,False,1,,NA,NA,NA,NA
1333,1,1,11,11,R,H,"1,2,3,4",4,0.3397261999998591,0.3397261999998591,l,l,True,False,False,1,,NA,NA,NA,NA
1333,1,1,12,12,P,H,"1,2,3,4",2,0.24626639999769395,0.24626639999769395,f,f,True,False,False,1,,NA,NA,NA,NA
1333,1,1,13,13,R,L,"1,2,3,4",3,0.26720319999731146,0.26720319999731146,j,j,True,False,False,1,,NA,NA,NA,NA
1333,1,1,14,14,P,H,"1,2,3,4",3,0.2329457999985607,0.2329457999985607,j,j,True,False,False,1,,NA,NA,NA,NA
1333,1,1,15,15,R,H,"1,2,3,4",4,0.25573889999941457,0.25573889999941457,l,l,True,False,False,1,,NA,NA,NA,NA
1333,1,1,16,16,P,H,"1,2,3,4",4,0.2544843000032415,0.2544843000032415,l,l,True,False,False,1,,NA,NA,NA,NA
1333,1,1,17,17,R,H,"1,2,3,4",1,0.26108970000132103,0.26108970000132103,s,s,True,False,False,1,,NA,NA,NA,NA
1333,1,1,18,18,P,H,"1,2,3,4",1,0.21009720000074594,0.21009720000074594,s,s,True,False,False,1,,NA,NA,NA,NA
1333,1,1,19,19,R,H,"1,2,3,4",2,0.22662629999831552,0.22662629999831552,f,f,True,False,False,1,,NA,NA,NA,NA
1333,1,1,20,20,P,H,"1,2,3,4",2,0.18545459999950253,0.18545459999950253,f,f,True,False,False,1,,NA,NA,NA,NA
1333,1,1,21,21,R,R,"1,2,3,4",2,0.22496490000048652,0.22496490000048652,f,f,True,False,False,1,,NA,NA,NA,NA
1333,1,1,22,22,P,H,"1,2,3,4",3,0.2324664000007033,0.2324664000007033,j,j,True,False,False,1,,NA,NA,NA,NA
1333,1,1,23,23,R,L,"1,2,3,4",1,0.2710862999992969,0.2710862999992969,s,s,True,False,False,1,,NA,NA,NA,NA
1333,1,1,24,24,P,H,"1,2,3,4",4,0.219714799997746,0.219714799997746,l,j,False,False,False,1,,NA,NA,NA,NA
1333,1,1,24,24,P,H,"1,2,3,4",4,0.12788990000262856,0.3476047000003746,l,l,True,False,False,1,,NA,NA,NA,NA
1333,1,1,25,25,R,L,"1,2,3,4",3,0.2609755999983463,0.2609755999983463,j,j,True,False,False,1,,NA,NA,NA,NA
1333,1,1,26,26,P,H,"1,2,3,4",1,0.2181287000021257,0.2181287000021257,s,f,False,False,False,1,,NA,NA,NA,NA
1333,1,1,26,26,P,H,"1,2,3,4",1,0.11182419999749982,0.3299528999996255,s,s,True,False,False,1,,NA,NA,NA,NA
1333,1,1,27,27,R,L,"1,2,3,4",1,0.21327039999960107,0.21327039999960107,s,f,False,False,False,1,,NA,NA,NA,NA
1333,1,1,27,27,R,L,"1,2,3,4",1,0.05586290000064764,0.2691333000002487,s,s,True,False,False,1,,NA,NA,NA,NA
1333,1,1,28,28,P,H,"1,2,3,4",2,0.2482319999980973,0.2482319999980973,f,f,True,False,False,1,,NA,NA,NA,NA
1333,1,1,29,29,R,L,"1,2,3,4",4,0.28785400000197114,0.28785400000197114,l,l,True,False,False,1,,NA,NA,NA,NA
1333,1,1,30,30,P,H,"1,2,3,4",3,0.26710240000102203,0.26710240000102203,j,j,True,False,False,1,,NA,NA,NA,NA
1333,1,1,31,31,R,L,"1,2,3,4",2,0.23213220000252477,0.23213220000252477,f,f,True,False,False,1,,NA,NA,NA,NA
1333,1,1,32,32,P,H,"1,2,3,4",4,0.2874067000011564,0.2874067000011564,l,l,True,False,False,1,,NA,NA,NA,NA
1333,1,1,33,33,R,L,"1,2,3,4",1,0.2671922000008635,0.2671922000008635,s,s,True,False,False,1,,NA,NA,NA,NA
1333,1,1,34,34,P,H,"1,2,3,4",1,0.28851510000095004,0.28851510000095004,s,s,True,False,False,1,,NA,NA,NA,NA
1333,1,1,35,35,R,H,"1,2,3,4",2,0.31742880000092555,0.31742880000092555,f,f,True,False,False,1,,NA,NA,NA,NA
1333,1,1,36,36,P,H,"1,2,3,4",2,0.27237289999902714,0.27237289999902714,f,f,True,False,False,1,,NA,NA,NA,NA
1333,1,1,37,37,R,L,"1,2,3,4",1,0.29245739999896614,0.29245739999896614,s,s,True,False,False,1,,NA,NA,NA,NA
1333,1,1,38,38,P,H,"1,2,3,4",3,0.2723731999976735,0.2723731999976735,j,j,True,False,False,1,,NA,NA,NA,NA
1333,1,1,39,39,R,H,"1,2,3,4",2,0.261567899997317,0.261567899997317,f,f,True,False,False,1,,NA,NA,NA,NA
1333,1,1,40,40,P,H,"1,2,3,4",4,0.24145299999872805,0.24145299999872805,l,l,True,False,False,1,,NA,NA,NA,NA
1333,1,1,41,41,R,L,"1,2,3,4",1,0.2883467000028759,0.2883467000028759,s,s,True,False,False,1,,NA,NA,NA,NA
1333,1,1,42,42,P,H,"1,2,3,4",1,0.24441429999933462,0.24441429999933462,s,s,True,False,False,1,,NA,NA,NA,NA
1333,1,1,43,43,R,L,"1,2,3,4",4,0.3060966000011831,0.3060966000011831,l,l,True,False,False,1,,NA,NA,NA,NA
1333,1,1,44,44,P,H,"1,2,3,4",2,0.22280409999802941,0.22280409999802941,f,f,True,False,False,1,,NA,NA,NA,NA
1333,1,1,45,45,R,T,"1,2,3,4",4,0.2856897999990906,0.2856897999990906,l,l,True,False,False,1,,NA,NA,NA,NA
1333,1,1,46,46,P,H,"1,2,3,4",3,0.26583790000222507,0.26583790000222507,j,j,True,False,False,1,,NA,NA,NA,NA
1333,1,1,47,47,R,T,"1,2,3,4",4,0.30211469999994733,0.30211469999994733,l,l,True,False,False,1,,NA,NA,NA,NA
1333,1,1,48,48,P,H,"1,2,3,4",4,0.2748806000017794,0.2748806000017794,l,l,True,False,False,1,,NA,NA,NA,NA
1333,1,1,49,49,R,H,"1,2,3,4",1,0.20820780000212835,0.20820780000212835,s,f,False,False,False,1,,NA,NA,NA,NA
1333,1,1,49,49,R,H,"1,2,3,4",1,0.17586449999726028,0.38407229999938863,s,s,True,False,False,1,,NA,NA,NA,NA
1333,1,1,50,50,P,H,"1,2,3,4",1,0.20786120000047958,0.20786120000047958,s,f,False,False,False,1,,NA,NA,NA,NA
1333,1,1,50,50,P,H,"1,2,3,4",1,0.22408290000021225,0.43194410000069183,s,s,True,False,False,1,,NA,NA,NA,NA
1333,1,1,51,51,R,L,"1,2,3,4",3,0.3991844000011042,0.3991844000011042,j,j,True,False,False,1,,NA,NA,NA,NA
1333,1,1,52,52,P,H,"1,2,3,4",2,0.21594120000008843,0.21594120000008843,f,f,True,False,False,1,,NA,NA,NA,NA
1333,1,1,53,53,R,L,"1,2,3,4",2,0.22296280000227853,0.22296280000227853,f,f,True,False,False,1,,NA,NA,NA,NA
1333,1,1,54,54,P,H,"1,2,3,4",3,0.2539459999970859,0.2539459999970859,j,j,True,False,False,1,,NA,NA,NA,NA
1333,1,1,55,55,R,H,"1,2,3,4",3,0.2919785999984015,0.2919785999984015,j,j,True,False,False,1,,NA,NA,NA,NA
1333,1,1,56,56,P,H,"1,2,3,4",4,0.2566186000003654,0.2566186000003654,l,l,True,False,False,1,,NA,NA,NA,NA
1333,1,1,57,57,R,L,"1,2,3,4",2,0.33438030000252184,0.33438030000252184,f,f,True,False,False,1,,NA,NA,NA,NA
1333,1,1,58,58,P,H,"1,2,3,4",1,0.2812787999973807,0.2812787999973807,s,s,True,False,False,1,,NA,NA,NA,NA
1333,1,1,59,59,R,T,"1,2,3,4",2,0.24616189999869675,0.24616189999869675,f,f,True,False,False,1,,NA,NA,NA,NA
1333,1,1,60,60,P,H,"1,2,3,4",2,0.29260269999940647,0.29260269999940647,f,f,True,False,False,1,,NA,NA,NA,NA
1333,1,1,61,61,R,L,"1,2,3,4",4,0.2316242000015336,0.2316242000015336,l,l,True,False,False,1,,NA,NA,NA,NA
1333,1,1,62,62,P,H,"1,2,3,4",3,0.2713746999979776,0.2713746999979776,j,j,True,False,False,1,,NA,NA,NA,NA
1333,1,1,63,63,R,L,"1,2,3,4",3,0.24419009999837726,0.24419009999837726,j,j,True,False,False,1,,NA,NA,NA,NA
1333,1,1,64,64,P,H,"1,2,3,4",4,0.26648500000010245,0.26648500000010245,l,l,True,False,False,1,,NA,NA,NA,NA
1333,1,1,65,65,R,T,"1,2,3,4",3,0.27117550000184565,0.27117550000184565,j,j,True,False,False,1,,NA,NA,NA,NA
1333,1,1,66,66,P,H,"1,2,3,4",1,0.2362771000007342,0.2362771000007342,s,f,False,False,False,1,,NA,NA,NA,NA
1333,1,1,66,66,P,H,"1,2,3,4",1,0.07988040000054752,0.31615750000128173,s,s,True,False,False,1,,NA,NA,NA,NA
1333,1,1,67,67,R,L,"1,2,3,4",1,0.23888109999825247,0.23888109999825247,s,f,False,False,False,1,,NA,NA,NA,NA
1333,1,1,67,67,R,L,"1,2,3,4",1,0.11201670000082231,0.3508977999990748,s,s,True,False,False,1,,NA,NA,NA,NA
1333,1,1,68,68,P,H,"1,2,3,4",2,0.24094530000002123,0.24094530000002123,f,f,True,False,False,1,,NA,NA,NA,NA
1333,1,1,69,69,R,H,"1,2,3,4",2,0.206992800001899,0.206992800001899,f,f,True,False,False,1,,NA,NA,NA,NA
1333,1,1,70,70,P,H,"1,2,3,4",3,0.27210160000322503,0.27210160000322503,j,j,True,False,False,1,,NA,NA,NA,NA
1333,1,1,71,71,R,L,"1,2,3,4",4,0.22085929999957443,0.22085929999957443,l,l,True,False,False,1,,NA,NA,NA,NA
1333,1,1,72,72,P,H,"1,2,3,4",4,0.2362941999999748,0.2362941999999748,l,l,True,False,False,1,,NA,NA,NA,NA
1333,1,1,73,73,R,L,"1,2,3,4",3,0.25072690000160947,0.25072690000160947,j,f,False,False,False,1,,NA,NA,NA,NA
1333,1,1,73,73,R,L,"1,2,3,4",3,0.015919099998427555,0.266646000000037,j,j,True,False,False,1,,NA,NA,NA,NA
1333,1,1,74,74,P,H,"1,2,3,4",1,0.2314139999980398,0.2314139999980398,s,f,False,False,False,1,,NA,NA,NA,NA
1333,1,1,74,74,P,H,"1,2,3,4",1,0.06394519999957993,0.2953591999976197,s,s,True,False,False,1,,NA,NA,NA,NA
1333,1,1,75,75,R,T,"1,2,3,4",3,0.2678440999989107,0.2678440999989107,j,j,True,False,False,1,,NA,NA,NA,NA
1333,1,1,76,76,P,H,"1,2,3,4",2,0.23245410000163247,0.23245410000163247,f,f,True,False,False,1,,NA,NA,NA,NA
1333,1,1,77,77,R,T,"1,2,3,4",3,0.26396630000090227,0.26396630000090227,j,l,False,False,False,1,,NA,NA,NA,NA
1333,1,1,77,77,R,T,"1,2,3,4",3,0.11977469999692403,0.3837409999978263,j,j,True,False,False,1,,NA,NA,NA,NA
1333,1,1,78,78,P,H,"1,2,3,4",3,0.2647300999997242,0.2647300999997242,j,j,True,False,False,1,,NA,NA,NA,NA
1333,1,1,79,79,R,H,"1,2,3,4",4,0.22903759999826434,0.22903759999826434,l,l,True,False,False,1,,NA,NA,NA,NA
1333,1,1,80,80,P,H,"1,2,3,4",4,0.24443109999992885,0.24443109999992885,l,l,True,False,False,1,,NA,NA,NA,NA
1333,1,2,81,1,R,X,"1,2,3,4",1,0.5679311999992933,0.5679311999992933,s,f,False,False,False,1,,NA,NA,NA,NA
1333,1,2,81,1,R,X,"1,2,3,4",1,0.15982269999949494,0.7277538999987883,s,s,True,False,False,1,,NA,NA,NA,NA
1333,1,2,82,2,P,X,"1,2,3,4",1,0.23433099999965634,0.23433099999965634,s,s,True,False,False,1,,NA,NA,NA,NA
1333,1,2,83,3,R,R,"1,2,3,4",1,0.20836979999876348,0.20836979999876348,s,f,False,False,False,1,,NA,NA,NA,NA
1333,1,2,83,3,R,R,"1,2,3,4",1,0.1519350000016857,0.3603048000004492,s,s,True,False,False,1,,NA,NA,NA,NA
1333,1,2,84,4,P,H,"1,2,3,4",2,0.2173480000019481,0.2173480000019481,f,f,True,False,False,1,,NA,NA,NA,NA
1333,1,2,85,5,R,L,"1,2,3,4",3,0.25617029999921215,0.25617029999921215,j,j,True,False,False,1,,NA,NA,NA,NA
1333,1,2,86,6,P,H,"1,2,3,4",3,0.2054372999991756,0.2054372999991756,j,j,True,False,False,1,,NA,NA,NA,NA
1333,1,2,87,7,R,L,"1,2,3,4",1,0.23798140000144485,0.23798140000144485,s,f,False,False,False,1,,NA,NA,NA,NA
