participant,session,block_number,trial_number,trial_in_block_num,trial_type,probability_type,sequence_used,stimulus_position_num,rt_non_cumulative_s,rt_cumulative_s,correct_key_pressed,response_key_pressed,correct_response,is_nogo,is_practice,epoch
1434,1,1,1,1,R,X,"1,4,2,3",3,3.7896678999532014,3.7896764000179246,j,j,True,False,True,0
1434,1,1,2,2,R,X,"1,4,2,3",3,1.3189388000173494,1.3189481999725103,j,j,True,False,True,0
1434,1,1,3,3,R,X,"1,4,2,3",4,0.3671913999132812,0.36720079998485744,l,l,True,False,True,0
1434,1,1,4,4,R,X,"1,4,2,3",4,0.3504174000117928,0.35042710008565336,l,l,True,False,True,0
1434,1,1,5,5,R,X,"1,4,2,3",4,0.304571200045757,0.3045799999963492,l,l,True,False,True,0
1434,1,1,6,6,R,X,"1,4,2,3",4,0.30032529996242374,0.3003349000355229,l,l,True,False,True,0
1434,1,1,7,7,R,X,"1,4,2,3",3,0.33412199991289526,0.33413049997761846,j,f,False,False,True,0
1434,1,1,7,7,R,X,"1,4,2,3",3,0.05009169992990792,0.384266100008972,j,j,True,False,True,0
1434,1,1,8,8,R,X,"1,4,2,3",1,0.35063589992932975,0.3506469000130892,s,s,True,False,True,0
1434,1,1,9,9,R,X,"1,4,2,3",3,0.26535659993533045,0.2653668000129983,j,j,True,False,True,0
1434,1,1,10,10,R,X,"1,4,2,3",3,0.2821861000265926,0.2822073999559507,j,j,True,False,True,0
1434,1,1,11,11,R,X,"1,4,2,3",2,0.3160074999323115,0.3160175000084564,f,f,True,False,True,0
1434,1,1,12,12,R,X,"1,4,2,3",3,0.27591570001095533,0.27591570001095533,NoGo,j,False,True,True,0
1434,1,1,13,13,R,X,"1,4,2,3",2,1.01724049996119,1.0172498000320047,f,f,True,False,True,0
1434,1,1,14,14,R,X,"1,4,2,3",4,0.350309900008142,0.3503186000743881,l,l,True,False,True,0
1434,1,1,15,15,R,X,"1,4,2,3",3,0.2650457000127062,0.26505719998385757,j,j,True,False,True,0
1434,1,1,16,16,R,X,"1,4,2,3",3,0.267846200033091,0.2678555001039058,j,j,True,False,True,0
1434,1,1,17,17,R,X,"1,4,2,3",4,0.30099100002553314,0.3010002999799326,l,l,True,False,True,0
1434,1,1,18,18,R,X,"1,4,2,3",4,0.3171889999648556,0.31719920004252344,l,l,True,False,True,0
1434,1,1,19,19,R,X,"1,4,2,3",1,0.31655569991562515,0.31656499998643994,s,s,True,False,True,0
1434,1,1,20,20,R,X,"1,4,2,3",2,0.23434299998916686,0.23435230005998164,f,f,True,False,True,0
1434,1,1,21,21,R,X,"1,4,2,3",4,0.3011474000522867,0.3011562000028789,l,l,True,False,True,0
1434,1,1,22,22,R,X,"1,4,2,3",2,0.26721429999452084,0.2672253999626264,f,f,True,False,True,0
1434,1,1,23,23,R,X,"1,4,2,3",1,0.31773649994283915,0.3177461000159383,s,s,True,False,True,0
1434,1,1,24,24,R,X,"1,4,2,3",1,0.25111870002001524,0.25112769997213036,s,s,True,False,True,0
1434,1,1,25,25,R,X,"1,4,2,3",4,0.250405199942179,0.25041400000918657,l,j,False,False,True,0
1434,1,1,25,25,R,X,"1,4,2,3",4,0.06676929991226643,0.31720920000225306,l,l,True,False,True,0
1434,1,1,26,26,R,X,"1,4,2,3",1,0.2674562999745831,0.26746510004159063,s,s,True,False,True,0
1434,1,1,27,27,R,X,"1,4,2,3",1,0.2841946999542415,0.2842034000204876,s,s,True,False,True,0
1434,1,1,28,28,R,X,"1,4,2,3",3,0.23456679994706064,0.23457610001787543,j,f,False,False,True,0
1434,1,1,28,28,R,X,"1,4,2,3",3,0.0499735000776127,0.28457890008576214,j,j,True,False,True,0
1434,1,1,29,29,R,X,"1,4,2,3",2,0.24286170001141727,0.24286170001141727,NoGo,j,False,True,True,0
1434,1,1,30,30,R,X,"1,4,2,3",4,0.2829040999058634,0.28291309997439384,l,l,True,False,True,0
1434,1,1,31,31,R,X,"1,4,2,3",2,0.26737569994293153,0.267384700011462,f,f,True,False,True,0
1434,1,1,32,32,R,X,"1,4,2,3",3,0.25073470000643283,0.2507435999577865,j,j,True,False,True,0
1434,1,1,33,33,R,X,"1,4,2,3",1,0.3010442000813782,0.3010529999155551,s,s,True,False,True,0
1434,1,1,34,34,R,X,"1,4,2,3",2,0.2347059000749141,0.23471490002702922,f,f,True,False,True,0
1434,1,1,35,35,R,X,"1,4,2,3",2,0.26755480002611876,0.2675658999942243,f,j,False,False,True,0
1434,1,1,35,35,R,X,"1,4,2,3",2,0.050030400045216084,0.3176269999239594,f,f,True,False,True,0
1434,1,1,36,36,R,X,"1,4,2,3",1,0.38386229996103793,0.3838712000288069,s,s,True,False,True,0
1434,1,1,37,37,R,X,"1,4,2,3",2,0.2848697000881657,0.28487859992310405,f,f,True,False,True,0
1434,1,1,38,38,R,X,"1,4,2,3",4,0.23497800005134195,0.23498680000193417,l,j,False,False,True,0
1434,1,1,38,38,R,X,"1,4,2,3",4,0.1834497000090778,0.41846330009866506,l,l,True,False,True,0
1434,1,1,39,39,R,X,"1,4,2,3",3,0.31744840007741004,0.3174592999275774,j,j,True,False,True,0
1434,1,1,40,40,R,X,"1,4,2,3",1,0.30936829990241677,0.30936829990241677,NoGo,s,False,True,True,0
1434,1,1,41,41,R,X,"1,4,2,3",3,0.28363229997921735,0.2836411000462249,j,j,True,False,True,0
1434,1,1,42,42,R,X,"1,4,2,3",4,0.31780660001095384,0.3178150000749156,l,l,True,False,True,0
1434,1,1,43,43,R,X,"1,4,2,3",2,0.26661260006949306,0.26662200002465397,f,f,True,False,True,0
1434,1,1,44,44,R,X,"1,4,2,3",4,0.30930480000097305,0.30930480000097305,NoGo,l,False,True,True,0
1434,1,1,45,45,R,X,"1,4,2,3",1,0.5339858001098037,0.533994699944742,s,s,True,False,True,0
1434,1,1,46,46,R,X,"1,4,2,3",3,0.3152273999294266,0.31523720000404865,j,j,True,False,True,0
1434,1,1,47,47,R,X,"1,4,2,3",3,0.26731759996619076,0.26732670003548265,j,j,True,False,True,0
1434,1,1,48,48,R,X,"1,4,2,3",2,0.2997227000305429,0.2997319999849424,f,f,True,False,True,0
1434,1,1,49,49,R,X,"1,4,2,3",2,0.26818070001900196,0.2681906999787316,f,f,True,False,True,0
1434,1,1,50,50,R,X,"1,4,2,3",3,0.282908899942413,0.28291780001018196,j,j,True,False,True,0
1434,1,1,51,51,R,X,"1,4,2,3",2,0.3008818000089377,0.3008906999602914,f,f,True,False,True,0
1434,1,1,52,52,R,X,"1,4,2,3",1,0.368790699983947,0.36879919993225485,s,s,True,False,True,0
1434,1,1,53,53,R,X,"1,4,2,3",4,0.3511343999998644,0.35114369995426387,l,l,True,False,True,0
1434,1,1,54,54,R,X,"1,4,2,3",1,0.3164942000294104,0.31650239997543395,s,s,True,False,True,0
1434,1,1,55,55,R,X,"1,4,2,3",2,0.24239430006127805,0.24239430006127805,NoGo,f,False,True,True,0
1434,1,1,56,56,R,X,"1,4,2,3",3,0.28352070006076247,0.2835293000098318,j,j,True,False,True,0
1434,1,1,57,57,R,X,"1,4,2,3",4,0.3338646999327466,0.33387349999975413,l,l,True,False,True,0
1434,1,1,58,58,R,X,"1,4,2,3",3,0.30009699997026473,0.30010669992771,j,j,True,False,True,0
1434,1,1,59,59,R,X,"1,4,2,3",2,0.28441570000723004,0.28442460007499903,f,f,True,False,True,0
1434,1,1,60,60,R,X,"1,4,2,3",1,0.3087623999454081,0.3087623999454081,NoGo,s,False,True,True,0
1434,1,1,61,61,R,X,"1,4,2,3",4,0.33282319991849363,0.33283179998397827,l,l,True,False,True,0
1434,1,1,62,62,R,X,"1,4,2,3",1,0.26597289997152984,0.2659821000415832,s,f,False,False,True,0
1434,1,1,62,62,R,X,"1,4,2,3",1,0.16694020002614707,0.43295420007780194,s,s,True,False,True,0
1434,1,1,63,63,R,X,"1,4,2,3",3,0.28412889991886914,0.2841387999942526,j,j,True,False,True,0
1434,1,1,64,64,R,X,"1,4,2,3",1,0.3341692000394687,0.33417869999539107,s,s,True,False,True,0
1434,1,1,65,65,R,X,"1,4,2,3",4,0.37586460006423295,0.37586460006423295,NoGo,l,False,True,True,0
1434,1,1,66,66,R,X,"1,4,2,3",2,0.2995602000737563,0.29956950002815574,f,f,True,False,True,0
1434,1,1,67,67,R,X,"1,4,2,3",2,0.25010330008808523,0.25011269992683083,f,f,True,False,True,0
1434,1,1,68,68,R,X,"1,4,2,3",1,0.5509517999598756,0.5509606000268832,s,s,True,False,True,0
1434,1,1,69,69,R,X,"1,4,2,3",2,0.3350183001020923,0.335027499939315,f,f,True,False,True,0
1434,1,1,70,70,R,X,"1,4,2,3",1,0.33345780009403825,0.3334672999335453,s,s,True,False,True,0
1434,1,1,71,71,R,X,"1,4,2,3",3,0.2831317000091076,0.2831413000822067,j,j,True,False,True,0
1434,1,1,72,72,R,X,"1,4,2,3",1,0.2839840999804437,0.28399310004897416,s,f,False,False,True,0
1434,1,1,72,72,R,X,"1,4,2,3",1,0.15018610004335642,0.43420849996618927,s,s,True,False,True,0
1434,1,1,73,73,R,X,"1,4,2,3",2,0.2581631999928504,0.2581631999928504,NoGo,f,False,True,True,0
1434,1,1,74,74,R,X,"1,4,2,3",3,0.29997729999013245,0.29998609994072467,j,j,True,False,True,0
1434,1,1,75,75,R,X,"1,4,2,3",4,0.5178094999864697,0.5178203999530524,l,l,True,False,True,0
1434,1,1,76,76,R,X,"1,4,2,3",4,0.2922208000672981,0.2922208000672981,NoGo,l,False,True,True,0
1434,1,1,77,77,R,X,"1,4,2,3",1,0.333699099952355,0.3337078000186011,s,s,True,False,True,0
1434,1,1,78,78,R,X,"1,4,2,3",2,0.25073880003765225,0.2507471999851987,f,f,True,False,True,0
1434,1,1,79,79,R,X,"1,4,2,3",1,0.3171207000268623,0.3171297999797389,s,f,False,False,True,0
1434,1,1,79,79,R,X,"1,4,2,3",1,0.2501402000198141,0.5673105999594554,s,s,True,False,True,0
1434,1,1,80,80,R,X,"1,4,2,3",4,,,NoGo,None,True,True,True,0
1434,1,1,81,1,R,X,"1,4,2,3",4,0.5170675999252126,0.5170766999945045,l,l,True,False,False,1
1434,1,1,82,2,P,X,"1,4,2,3",1,0.3161038999678567,0.31611450004857033,s,s,True,False,False,1
1434,1,1,83,3,R,H,"1,4,2,3",2,0.29303830000571907,0.29303830000571907,NoGo,f,False,True,False,1
1434,1,1,84,4,P,H,"1,4,2,3",4,0.3667227999540046,0.36673290003091097,l,l,True,False,False,1
1434,1,1,85,5,R,L,"1,4,2,3",3,0.2993654999881983,0.29937459994107485,j,j,True,False,False,1
1434,1,1,86,6,P,H,"1,4,2,3",2,0.3334957000333816,0.3335064999992028,f,f,True,False,False,1
1434,1,1,87,7,R,H,"1,4,2,3",1,0.2989656999707222,0.29897510004229844,s,s,True,False,False,1
1434,1,1,88,8,P,H,"1,4,2,3",3,0.3011432000203058,0.3011529999785125,j,j,True,False,False,1
1434,1,1,89,9,R,L,"1,4,2,3",2,0.3760477000614628,0.3760477000614628,NoGo,f,False,True,False,1
1434,1,1,90,10,P,H,"1,4,2,3",1,0.31636659998912364,0.31637630006298423,s,s,True,False,False,1
1434,1,1,91,11,R,T,"1,4,2,3",3,0.2845647999783978,0.28457429993432015,j,j,True,False,False,1
1434,1,1,92,12,P,H,"1,4,2,3",4,0.32539270003326237,0.32539270003326237,NoGo,l,False,True,False,1
1434,1,1,93,13,R,L,"1,4,2,3",2,0.3505651999730617,0.3505740000400692,f,f,True,False,False,1
1434,1,1,94,14,P,H,"1,4,2,3",2,0.247584700002335,0.24759609997272491,f,f,True,False,False,1
1434,1,1,95,15,R,R,"1,4,2,3",2,0.2494997000321746,0.24950899998657405,f,f,True,False,False,1
1434,1,1,96,16,P,H,"1,4,2,3",3,0.29911640007048845,0.2991259000264108,j,j,True,False,False,1
1434,1,1,97,17,R,L,"1,4,2,3",1,0.33459210000000894,0.3346015000715852,s,s,True,False,False,1
1434,1,1,98,18,P,H,"1,4,2,3",1,0.36659949994646013,0.36660870001651347,s,s,True,False,False,1
1434,1,1,99,19,R,L,"1,4,2,3",3,0.3844260999467224,0.38443510001525283,j,j,True,False,False,1
1434,1,1,100,20,P,H,"1,4,2,3",4,0.3178541000233963,0.3178625999717042,l,l,True,False,False,1
