participant,session,block_number,trial_number,trial_in_block_num,trial_type,probability_type,sequence_used,stimulus_position_num,rt_non_cumulative_s,rt_cumulative_s,correct_key_pressed,response_key_pressed,correct_response,is_nogo,is_practice,epoch,mind_wandering_rating_1,mind_wandering_rating_2,mind_wandering_rating_3,mind_wandering_rating_4
1,1,1,1,1,R,X,"1,2,3,4",3,1.5078128000004654,1.5078477999995812,j,l,False,False,False,1,NA,NA,NA,NA
1,1,1,1,1,R,X,"1,2,3,4",3,0.22112029999971128,1.7291524000002028,j,l,False,False,False,1,NA,NA,NA,NA
1,1,1,1,1,R,X,"1,2,3,4",3,0.20291699999961565,1.932269500000075,j,l,False,False,False,1,NA,NA,NA,NA
1,1,1,1,1,R,X,"1,2,3,4",3,0.5912261000003127,2.5237774999995963,j,j,True,False,False,1,NA,NA,NA,NA
1,1,1,2,2,P,X,"1,2,3,4",1,1.3912867999997616,1.3913078000005044,s,s,True,False,False,1,NA,NA,NA,NA
1,1,1,3,3,R,L,"1,2,3,4",1,1.3696045000006052,1.3696208000001207,s,f,False,False,False,1,NA,NA,NA,NA
1,1,1,3,3,R,L,"1,2,3,4",1,0.5136339999999109,1.8833352000001469,s,j,False,False,False,1,NA,NA,NA,NA
1,1,1,3,3,R,L,"1,2,3,4",1,0.5134204000005411,2.396895300000324,s,l,False,False,False,1,NA,NA,NA,NA
1,1,1,3,3,R,L,"1,2,3,4",1,0.8673681999998735,3.2643794000005073,s,s,True,False,False,1,NA,NA,NA,NA
1,1,1,4,4,P,H,"1,2,3,4",2,0.8650136999995084,0.8650323000001663,f,f,True,False,False,1,NA,NA,NA,NA
1,1,1,5,5,R,T,"1,2,3,4",1,0.30792289999953937,0.3079416000000492,s,s,True,False,False,1,NA,NA,NA,NA
1,1,1,6,6,P,H,"1,2,3,4",3,0.33536129999993136,0.33538859999953274,j,j,True,False,False,1,NA,NA,NA,NA
1,1,1,7,7,R,H,"1,2,3,4",2,0.31492960000014136,0.31494589999965683,f,f,True,False,False,1,NA,NA,NA,NA
1,1,1,8,8,P,H,"1,2,3,4",4,0.2516593999998804,0.2516765000000305,l,j,False,False,False,1,NA,NA,NA,NA
1,1,1,8,8,P,H,"1,2,3,4",4,0.04997499999990396,0.30172619999939343,l,l,True,False,False,1,NA,NA,NA,NA
1,1,1,9,9,R,L,"1,2,3,4",4,0.29331050000018877,0.29332739999972546,l,l,True,False,False,1,NA,NA,NA,NA
1,1,1,10,10,P,H,"1,2,3,4",1,0.2527605000004769,0.25278309999976045,s,s,True,False,False,1,NA,NA,NA,NA
1,1,1,11,11,R,L,"1,2,3,4",2,0.24988139999913983,0.2499164999999266,f,f,True,False,False,1,NA,NA,NA,NA
1,1,1,12,12,P,H,"1,2,3,4",2,0.2846822000001339,0.284711199999947,f,f,True,False,False,1,NA,NA,NA,NA
1,1,1,13,13,R,H,"1,2,3,4",3,0.2578717999995206,0.2579099000004135,j,j,True,False,False,1,NA,NA,NA,NA
1,1,1,14,14,P,H,"1,2,3,4",3,0.24012619999939488,0.2401582000002236,j,j,True,False,False,1,NA,NA,NA,NA
1,1,1,15,15,R,H,"1,2,3,4",4,0.27367990000038844,0.27370410000003176,l,l,True,False,False,1,NA,NA,NA,NA
1,1,1,16,16,P,H,"1,2,3,4",4,0.26029990000006364,0.260330499999327,l,l,True,False,False,1,NA,NA,NA,NA
