participant,session,block_number,trial_number,trial_in_block_num,trial_type,probability_type,sequence_used,stimulus_position_num,rt_non_cumulative_s,rt_cumulative_s,correct_key_pressed,response_key_pressed,correct_response,epoch
1,1,1,1,1,R,X,"1,2,3,4",3,4.551957099931315,4.551967900013551,j,j,True,0
1,1,1,2,2,R,X,"1,2,3,4",2,0.31823350000195205,0.318241799948737,f,f,True,0
1,1,1,3,3,R,X,"1,2,3,4",1,0.31758320005610585,0.31759220000822097,s,s,True,0
1,1,1,4,4,R,X,"1,2,3,4",1,2.3699410000117496,2.369952900102362,s,s,True,0
1,1,1,5,5,R,X,"1,2,3,4",2,0.3497675000689924,0.34977709990926087,f,f,True,0
1,1,1,6,6,R,X,"1,2,3,4",4,0.38312550005503,0.3831334999995306,l,l,True,0
1,1,1,7,7,R,X,"1,2,3,4",3,0.3183077001012862,0.31832169997505844,j,j,True,0
1,1,1,8,8,R,X,"1,2,3,4",4,0.33421460003592074,0.3342250999994576,l,l,True,0
1,1,1,9,1,R,X,"4,3,2,1",3,0.2840973000274971,0.2841068999841809,j,j,True,1
1,1,1,10,2,P,X,"4,3,2,1",4,0.2679120999528095,0.26792250003200024,l,j,False,1
1,1,1,10,2,P,X,"4,3,2,1",4,0.15007249999325722,0.41802690003532916,l,l,True,1
1,1,1,11,3,R,L,"4,3,2,1",1,0.31827940000221133,0.31828719994518906,s,s,True,1
1,1,1,12,4,P,H,"4,3,2,1",3,0.23503169999457896,0.23504870000761002,j,f,False,1
1,1,1,12,4,P,H,"4,3,2,1",3,0.06666850007604808,0.3017461000708863,j,j,True,1
1,1,1,13,5,R,L,"4,3,2,1",2,0.23464590008370578,0.23465489991940558,f,f,True,1
1,1,1,14,6,P,H,"4,3,2,1",2,0.21750820009037852,0.21751689992379397,f,f,True,1
1,1,1,15,7,R,L,"4,3,2,1",4,0.25174279999919236,0.2517578999977559,l,j,False,1
1,1,1,15,7,R,L,"4,3,2,1",4,0.15006809995975345,0.4018525000428781,l,l,True,1
1,1,1,16,8,P,H,"4,3,2,1",1,0.2503317999653518,0.25034060003235936,s,f,False,1
1,1,1,16,8,P,H,"4,3,2,1",1,0.1168527000118047,0.36722130002453923,s,s,True,1
1,1,2,17,1,R,X,"4,3,2,1",1,1.6853568999795243,1.6853659999324009,s,s,True,1
1,1,2,18,2,P,X,"4,3,2,1",4,13.264105699956417,13.264116500038654,l,l,True,1
1,1,2,19,3,R,L,"4,3,2,1",3,0.3526667000260204,0.3526756999781355,j,j,True,1
1,1,2,20,4,P,H,"4,3,2,1",3,0.21784900000784546,0.21785750007256866,j,j,True,1
1,1,2,21,5,R,H,"4,3,2,1",2,0.23418559995479882,0.23419560003094375,f,f,True,1
1,1,2,22,6,P,H,"4,3,2,1",2,0.2675905000651255,0.2675990000134334,f,f,True,1
1,1,2,23,7,R,L,"4,3,2,1",4,0.30159980000462383,0.3016078999498859,l,l,True,1
1,1,2,24,8,P,H,"4,3,2,1",1,0.33476939995307475,0.3347780000185594,s,s,True,1
