participant,session,block_number,trial_number,trial_in_block_num,trial_type,probability_type,sequence_used,stimulus_position_num,rt_non_cumulative_s,rt_cumulative_s,correct_key_pressed,response_key_pressed,correct_response,is_nogo,is_practice,epoch,is_first_attempt,mind_wandering_rating_1,mind_wandering_rating_2,mind_wandering_rating_3,mind_wandering_rating_4
2,1,1,1,1,R,X,"1,2,4,3",4,0.565479600103572,0.5654916998464614,l,l,True,False,False,1,1,NA,NA,NA,NA
2,1,1,2,2,P,X,"1,2,4,3",1,0.4667166001163423,0.4667259000707418,s,s,True,False,False,1,1,NA,NA,NA,NA
2,1,1,3,3,R,H,"1,2,4,3",3,0.4328042999841273,0.43281299993395805,j,j,True,False,False,1,1,NA,NA,NA,NA
2,1,1,4,4,P,H,"1,2,4,3",2,0.4332101000472903,0.433218999998644,f,f,True,False,False,1,1,NA,NA,NA,NA
2,1,1,5,5,R,H,"1,2,4,3",1,0.36668039998039603,0.3666888999287039,s,s,True,False,False,1,1,NA,NA,NA,NA
2,1,1,6,6,P,H,"1,2,4,3",4,0.43313880008645356,0.43314779992215335,l,l,True,False,False,1,1,NA,NA,NA,NA
2,1,1,7,7,R,H,"1,2,4,3",2,0.4001901999581605,0.4002013001590967,f,f,True,False,False,1,1,NA,NA,NA,NA
2,1,1,8,8,P,H,"1,2,4,3",3,0.5497298999689519,0.5497387999203056,j,j,True,False,False,1,1,NA,NA,NA,NA
2,1,1,9,9,R,L,"1,2,4,3",3,0.49935670010745525,0.4993655001744628,j,j,True,False,False,1,1,NA,NA,NA,NA
2,1,1,10,10,P,H,"1,2,4,3",1,0.35055379988625646,0.35056350007653236,s,s,True,False,False,1,1,NA,NA,NA,NA
2,1,1,11,11,R,L,"1,2,4,3",2,0.3332048000302166,0.33321519987657666,f,f,True,False,False,1,1,NA,NA,NA,NA
2,1,1,12,12,P,H,"1,2,4,3",2,0.4498144001699984,0.4498236000072211,f,f,True,False,False,1,1,NA,NA,NA,NA
2,1,1,13,13,R,H,"1,2,4,3",4,0.48313329997472465,0.483142500044778,l,l,True,False,False,1,1,NA,NA,NA,NA
2,1,1,14,14,P,H,"1,2,4,3",4,0.48299719998613,0.4830071001779288,l,l,True,False,False,1,1,NA,NA,NA,NA
2,1,1,15,15,R,H,"1,2,4,3",3,0.36653950018808246,0.3665479999035597,j,j,True,False,False,1,1,NA,NA,NA,NA
2,1,1,16,16,P,H,"1,2,4,3",3,0.3816422999370843,0.38165190001018345,j,j,True,False,False,1,1,NA,NA,NA,NA
2,1,1,17,17,R,R,"1,2,4,3",3,0.3166870998684317,0.31669730017893016,j,j,True,False,False,1,1,NA,NA,NA,NA
2,1,1,18,18,P,H,"1,2,4,3",1,0.34889900009147823,0.34890880016610026,s,s,True,False,False,1,1,NA,NA,NA,NA
2,1,1,19,19,R,L,"1,2,4,3",4,0.41684520011767745,0.41685439995490015,l,l,True,False,False,1,1,NA,NA,NA,NA
2,1,1,20,20,P,H,"1,2,4,3",2,0.2832510999869555,0.28325980016961694,f,f,True,False,False,1,1,NA,NA,NA,NA
2,1,1,21,21,R,L,"1,2,4,3",1,0.3002263999078423,0.3002361999824643,s,s,True,False,False,1,1,NA,NA,NA,NA
2,1,1,22,22,P,H,"1,2,4,3",4,0.49889650009572506,0.49890569993294775,l,l,True,False,False,1,1,NA,NA,NA,NA
2,1,1,23,23,R,H,"1,2,4,3",2,0.28310539992526174,0.2831142998766154,f,f,True,False,False,1,1,NA,NA,NA,NA
2,1,1,24,24,P,H,"1,2,4,3",3,0.3664774000644684,0.36648650001734495,j,j,True,False,False,1,1,NA,NA,NA,NA
2,1,1,25,25,R,H,"1,2,4,3",4,0.6499972001183778,0.6500061000697315,l,l,True,False,False,1,1,NA,NA,NA,NA
2,1,1,26,26,P,H,"1,2,4,3",1,0.5330632999539375,0.5330722001381218,s,s,True,False,False,1,1,NA,NA,NA,NA
2,1,1,27,27,R,L,"1,2,4,3",1,0.3333359998650849,0.3333451999351382,s,s,True,False,False,1,1,NA,NA,NA,NA
2,1,1,28,28,P,H,"1,2,4,3",2,0.315720499958843,0.31572930002585053,f,f,True,False,False,1,1,NA,NA,NA,NA
2,1,1,29,29,R,T,"1,2,4,3",1,0.3670098998118192,0.3670189999975264,s,s,True,False,False,1,1,NA,NA,NA,NA
2,1,1,30,30,P,H,"1,2,4,3",4,0.4331978999543935,0.43320650001987815,l,l,True,False,False,1,1,NA,NA,NA,NA
2,1,1,31,31,R,T,"1,2,4,3",1,0.46629570005461574,0.46630509989336133,s,s,True,False,False,1,1,NA,NA,NA,NA
2,1,1,32,32,P,H,"1,2,4,3",3,0.41669380012899637,0.4167034002020955,j,j,True,False,False,1,1,NA,NA,NA,NA
2,1,1,33,33,R,T,"1,2,4,3",1,0.4001641001086682,0.40017319982871413,s,s,True,False,False,1,1,NA,NA,NA,NA
2,1,1,34,34,P,H,"1,2,4,3",1,0.3662312999367714,0.366241600131616,s,s,True,False,False,1,1,NA,NA,NA,NA
2,1,1,35,35,R,H,"1,2,4,3",2,0.3167705999221653,0.31677989987656474,f,f,True,False,False,1,1,NA,NA,NA,NA
