participant,session,block_number,trial_number,trial_in_block_num,trial_type,probability_type,sequence_used,stimulus_position_num,rt_non_cumulative_s,rt_cumulative_s,correct_key_pressed,response_key_pressed,correct_response,is_nogo,is_practice,epoch,mind_wandering_rating_1,mind_wandering_rating_2,mind_wandering_rating_3,mind_wandering_rating_4
646,1,1,1,1,R,X,"1,3,4,2",2,0.4325904160000391,0.43261054100003093,f,f,True,False,False,1,3,1,3,2
646,1,1,2,2,P,X,"1,3,4,2",1,0.2939469170000848,0.2939675000002353,s,s,True,False,False,1,3,1,3,2
646,1,1,3,3,R,L,"1,3,4,2",4,0.3585369580000588,0.3585543750000397,l,l,True,False,False,1,3,1,3,2
646,1,1,4,4,P,H,"1,3,4,2",3,0.2948876250002286,0.29490866600008303,j,j,True,False,False,1,3,1,3,2
646,1,1,5,5,R,L,"1,3,4,2",3,0.33729029200003424,0.3373034159999406,j,j,True,False,False,1,3,1,3,2
646,1,1,6,6,P,H,"1,3,4,2",4,0.3119934999999714,0.31200924999984636,l,l,True,False,False,1,3,1,3,2
646,1,1,7,7,R,T,"1,3,4,2",3,0.27550862499992945,0.27552295800023785,j,f,False,False,False,1,3,1,3,2
646,1,1,7,7,R,T,"1,3,4,2",3,0.2613609169998199,0.5369455830000334,j,j,True,False,False,1,3,1,3,2
646,1,1,8,8,P,H,"1,3,4,2",2,0.33492562500032363,0.3349500409999564,f,f,True,False,False,1,3,1,3,2
646,1,1,9,9,R,L,"1,3,4,2",1,0.2513182920001782,0.2513316249996933,s,s,True,False,False,1,3,1,3,2
646,1,1,10,10,P,H,"1,3,4,2",1,0.34386354099979144,0.34387837500025853,s,s,True,False,False,1,3,1,3,2
